7356 50
as	-1.497	1.302	-1.721	1.050	-0.537	1.876	-1.274	0.157	-1.058	0.648	-2.322	2.197	-0.258	1.178	-1.211	0.150	-0.234	0.520	-1.463	-1.407	-0.974	1.085	0.976	2.801	-0.164	-1.764	-1.134	-0.108	-2.208	1.896	-0.098	0.602	-0.801	0.551	2.349	-0.017	3.064	0.497	-0.139	0.584	-0.773	2.268	0.796	0.381	0.756	-1.190	1.503	-2.163	0.753	-2.253
for	0.507	0.639	-0.512	3.141	-1.033	1.339	0.661	0.572	-0.678	-1.063	0.566	0.639	-0.177	0.453	-2.022	1.451	-1.864	0.158	-1.187	-3.108	-1.742	1.224	1.650	2.213	-0.640	-0.025	-3.312	2.067	-0.907	1.577	-0.111	0.369	-0.317	-0.310	0.289	0.138	1.135	1.521	-1.816	-0.261	-0.782	1.212	1.593	1.373	0.120	-0.516	-0.015	-1.043	-1.135	0.193
that	-2.140	3.708	-1.006	1.519	-1.964	3.294	-2.783	-1.373	0.487	1.837	-2.861	1.859	0.523	-1.610	-0.886	0.685	-3.633	-0.708	-3.198	-1.195	-2.103	-0.406	0.738	1.791	-2.648	0.330	-1.932	-2.371	1.524	1.766	-0.534	-0.094	-3.264	-1.398	0.965	-0.929	1.758	3.859	-1.901	-0.733	0.964	2.850	0.985	1.056	0.146	-1.825	-0.613	-3.524	-0.253	-2.287
was	-3.113	-0.389	-1.815	-0.887	1.326	1.499	-0.576	0.206	0.910	3.708	1.346	0.781	2.413	-0.525	-4.188	1.227	1.445	-1.853	0.077	0.276	0.668	-1.015	3.122	1.627	-1.004	0.959	0.036	-2.787	-3.681	2.364	0.455	-0.398	-2.968	-1.204	-1.109	-0.659	0.905	-1.921	0.841	-3.396	-1.629	3.133	-0.421	-0.032	0.226	1.070	-1.865	-1.158	-0.260	-2.849
by	-1.605	1.223	-0.229	1.661	0.686	0.702	-2.062	-1.853	0.742	0.768	0.070	1.524	-0.054	0.203	-0.915	1.409	1.197	-1.014	0.531	-2.488	1.305	0.166	2.068	1.414	1.323	0.249	0.639	0.051	-2.711	0.804	0.916	-0.520	-0.708	0.159	-0.472	1.337	0.249	0.507	1.405	-1.218	0.494	4.777	0.729	0.056	0.948	-0.408	-0.478	-3.016	1.215	-2.574
with	-1.590	0.410	-1.776	0.875	-0.423	0.897	-0.148	0.473	-1.151	-1.843	0.123	-0.188	-0.038	-0.666	-0.332	1.834	-0.930	-1.862	-1.621	-3.394	-1.080	0.872	0.150	0.933	2.084	0.284	-1.292	0.737	-0.540	0.424	0.330	-1.212	-0.357	1.736	0.871	-0.962	2.544	0.127	-1.158	-0.070	-0.970	1.408	1.081	-0.698	1.381	-0.140	-1.042	-0.580	0.661	-2.612
on	-0.397	0.466	-0.159	1.734	-0.168	0.077	0.961	0.913	1.426	-1.474	1.623	-0.648	-0.178	-1.453	-0.861	0.636	-1.218	-2.706	0.188	-3.089	-0.943	2.502	0.976	0.024	1.083	-0.044	-1.734	0.221	0.854	1.279	2.893	-0.212	-1.655	-2.596	-1.872	-2.266	0.824	1.315	1.483	-1.944	1.806	2.215	0.690	0.476	0.718	1.247	-2.505	-1.097	0.082	-0.948
it	-1.859	3.323	-2.867	1.581	-1.558	4.226	-0.812	0.172	0.026	2.480	-3.640	0.780	0.649	-0.584	-1.709	0.187	-3.116	-0.108	-2.469	-0.077	-2.439	-0.138	-0.741	0.562	-2.381	-0.494	-0.463	-3.441	0.784	1.561	1.048	2.082	-3.830	-0.644	0.057	-0.908	1.554	0.967	-1.559	-2.033	-1.109	1.377	0.437	0.724	1.590	-0.517	0.808	-2.846	-1.078	-0.463
are	-1.614	0.867	-1.208	2.381	-3.316	-0.186	-2.075	-0.217	-1.557	-3.671	-2.788	-0.361	-1.497	-0.105	2.786	1.000	-2.641	1.985	-0.676	-4.018	-4.087	2.411	-1.733	1.469	0.444	-2.160	-2.301	-1.468	-1.153	3.588	-1.229	2.088	-0.230	1.871	3.103	-1.889	0.870	1.929	-0.374	3.809	-0.381	1.984	3.652	0.529	1.514	-3.286	0.676	-4.594	0.297	0.386
from	-0.845	0.714	-1.907	0.874	1.027	0.414	0.023	-2.171	0.390	-1.772	0.493	-1.126	-0.352	-1.327	-0.996	1.494	-1.546	-2.415	-1.046	-1.477	0.066	1.031	1.886	0.248	1.086	-2.558	0.801	-0.523	0.629	-0.294	1.076	-0.574	0.648	-0.523	-1.167	-1.312	-0.941	0.322	0.530	-0.509	-2.535	1.146	0.289	-0.218	0.066	0.551	-0.690	-2.981	0.469	-1.666
or	-0.743	3.869	-0.253	-0.055	-1.585	1.340	0.988	-0.135	-0.468	-2.449	-1.153	1.657	-2.334	1.508	0.018	0.323	-3.648	1.766	-1.465	-2.858	-1.065	1.840	0.041	0.249	-2.376	-1.258	-1.105	-0.357	0.830	0.337	-1.225	1.186	1.412	2.601	0.628	-2.253	1.470	1.565	-0.631	2.562	0.190	0.586	2.361	1.445	0.814	-2.376	1.647	-2.765	0.392	-2.118
be	-2.500	5.074	0.071	1.106	-3.433	4.675	-3.309	0.212	-0.032	3.257	-3.525	1.287	1.716	-0.616	-0.056	0.609	-6.517	1.016	-1.519	-3.834	-3.948	-1.233	-1.679	0.155	-1.351	0.269	-1.504	-1.967	-0.791	1.956	0.285	2.858	-2.959	1.933	2.868	-1.591	0.346	2.586	-1.601	0.314	-1.383	5.429	1.180	1.251	3.217	-1.462	-0.263	-5.048	-1.850	1.424
this	-1.468	2.634	-1.890	1.904	-1.146	2.785	0.790	-0.962	2.204	0.782	-2.701	2.034	0.799	-1.065	-1.432	0.241	-2.867	-0.886	-2.443	-0.924	-2.267	0.651	1.634	-0.284	-2.066	-0.629	-2.185	-0.600	0.992	0.920	2.450	1.562	-2.938	-1.578	0.661	0.712	2.521	2.656	-2.387	-0.286	-0.371	1.542	1.878	0.592	1.237	-0.509	-0.174	-3.108	-0.583	-1.533
an	0.072	1.868	-1.638	2.085	1.200	2.188	1.312	-0.597	0.573	0.097	0.913	3.006	-0.483	0.474	-2.571	-1.069	-0.791	-0.791	-0.681	-1.716	-1.249	-0.563	1.495	0.647	-1.704	-0.609	-0.660	1.427	0.034	1.154	0.772	0.531	-2.649	0.926	-1.286	-0.152	1.909	0.342	-0.302	-0.608	0.225	1.423	1.284	1.064	-0.067	0.152	1.123	-0.758	-0.346	-2.536
his	-3.097	-2.067	-2.487	-4.089	0.202	0.201	-2.722	-0.530	1.891	2.627	3.018	1.931	0.317	-0.159	-2.848	2.037	0.459	-5.584	-2.161	-0.274	1.579	2.344	4.452	2.104	0.163	4.906	0.647	0.476	-2.015	-0.219	0.279	-1.933	-2.663	-1.192	2.533	-1.261	2.481	2.543	-3.083	-3.358	0.569	0.491	-1.605	0.973	0.424	3.256	-2.493	0.167	-2.971	-3.857
at	0.722	0.542	-0.367	0.873	-0.324	-0.379	0.207	-0.496	0.966	-0.224	2.123	-0.175	1.738	-4.158	-2.090	2.439	-1.126	-2.778	1.456	-0.883	-1.213	2.011	-0.021	1.054	-0.630	-1.010	0.004	-1.479	-0.610	2.289	3.628	1.373	-2.166	-0.843	0.710	-3.361	-1.832	1.703	0.574	-2.987	-2.688	0.334	0.082	0.284	-1.395	0.171	-1.984	1.714	-1.328	-1.420
which	-2.944	1.477	-1.711	1.527	-0.059	2.608	-0.247	-1.541	0.414	-0.214	-3.122	1.107	0.271	-0.120	-0.621	1.168	-0.985	-0.211	-1.478	-2.595	-1.542	2.175	0.188	0.789	-0.210	-0.768	-0.240	0.031	-0.803	0.762	1.938	0.586	-2.490	-0.009	-1.094	-0.447	0.760	1.830	-0.891	-0.998	-0.085	3.440	1.909	-0.285	1.235	-0.731	0.756	-2.411	0.683	-2.314
he	-2.773	0.747	-2.529	-3.117	-0.116	2.974	-2.770	-0.246	-0.628	5.390	0.773	1.305	2.092	-0.407	-3.708	2.351	0.792	-4.535	-0.500	-0.442	-0.631	1.415	1.951	2.308	-0.223	5.078	2.884	-2.636	-1.467	-0.482	-0.761	0.416	-4.317	-2.271	3.490	-2.628	0.961	3.031	-1.976	-5.263	-1.140	1.715	-1.886	1.119	0.391	2.474	-2.490	0.289	-2.285	-2.649
not	-1.587	4.001	-1.097	-0.552	-3.858	3.836	-0.639	1.353	-1.028	1.051	-3.139	0.238	1.193	0.996	0.331	-0.714	-4.408	1.585	-3.992	-1.564	-2.784	-0.505	0.425	0.977	-4.263	1.153	-1.720	-4.281	0.112	2.608	-1.436	1.403	-1.674	-0.439	1.610	-1.076	2.036	3.478	-3.049	0.799	0.052	2.812	0.755	1.472	-0.411	-2.453	-2.219	-3.546	-0.195	-0.089
have	-2.925	1.514	-1.117	3.308	-2.921	1.007	-4.522	1.414	-0.740	0.741	-2.241	-0.153	0.210	-0.122	0.475	1.948	-5.348	-0.512	-2.268	-1.473	-2.652	-0.308	-0.769	0.910	1.364	-0.706	-3.561	-3.227	-0.764	2.471	-1.370	0.369	-0.951	-1.992	3.258	-1.036	0.445	2.362	-2.871	0.943	-1.179	3.328	0.756	0.297	-0.006	-2.166	-1.108	-4.370	0.071	-1.479
also	0.159	-0.141	-1.382	2.429	0.194	1.048	-0.152	-0.208	-1.329	-0.353	-1.059	0.147	-1.185	2.013	-0.472	-0.427	-0.705	-0.366	-0.699	-1.828	-0.426	1.596	0.165	0.940	1.104	-2.242	-1.623	0.805	-0.926	-0.104	0.982	0.426	-0.266	-0.759	1.934	1.565	1.900	1.424	1.204	0.616	-0.743	1.224	1.274	0.627	0.058	-1.706	1.242	-2.195	0.725	-0.590
,	-0.114	3.968	0.861	-1.485	-1.631	3.556	3.534	3.430	-0.700	0.736	1.488	-1.478	0.870	-0.424	1.586	2.201	-3.584	-2.877	-1.907	-0.445	-4.847	2.675	-6.034	-0.579	-0.632	1.118	-7.063	-3.430	2.640	-0.041	-2.109	1.330	-2.202	-5.621	5.028	-2.984	-0.761	1.915	-3.835	-3.201	-1.814	-3.595	-2.412	-0.283	0.626	0.194	1.583	-0.239	-0.177	3.597
.	-0.165	4.200	0.027	-1.018	-2.307	4.076	3.273	3.710	-0.258	1.116	1.481	-2.192	0.510	-0.450	0.992	2.635	-4.684	-3.579	-2.326	-0.633	-5.176	2.436	-5.299	-0.557	-1.065	1.364	-7.793	-3.316	2.491	0.339	-1.571	1.700	-2.964	-6.024	4.588	-2.513	-0.769	1.911	-4.029	-2.766	-1.545	-3.808	-2.614	0.100	0.832	1.430	1.123	0.111	-1.617	3.603
were	-4.695	-0.053	-1.509	0.246	-1.339	-0.921	-3.592	1.026	0.536	-0.678	-0.577	-2.598	0.500	-0.791	0.035	3.982	-0.400	0.293	0.514	-1.727	-0.144	0.320	4.235	2.630	3.109	1.104	-0.680	-3.103	-4.002	2.410	-0.584	-1.326	-1.607	-0.975	0.329	-0.879	-1.693	0.456	-0.350	0.511	-2.021	4.600	3.096	-0.865	1.462	-1.912	-2.239	-3.333	0.514	-1.742
has	-1.842	-0.545	-2.182	5.582	-0.928	0.270	-1.585	-0.834	0.042	1.074	-1.851	2.616	1.123	1.458	-1.668	1.288	-2.984	-0.606	-1.340	0.682	-1.799	1.030	0.485	1.016	0.431	-2.787	-3.572	-2.305	0.364	3.809	0.088	-0.069	-0.445	-1.862	-0.936	0.173	2.867	-1.367	-1.309	-0.665	-0.694	2.764	-0.855	-0.056	-0.089	-0.611	1.302	-2.426	0.790	-3.768
but	-2.422	1.856	-2.512	-0.057	-1.579	2.194	-1.176	1.702	0.158	1.426	-2.321	0.025	0.692	-0.738	-0.094	1.747	-2.298	0.088	-2.590	-0.609	-2.206	0.039	1.292	0.427	-1.600	1.331	-0.965	-4.218	-0.695	2.792	-1.074	1.061	-1.751	0.498	0.333	-1.429	1.774	0.202	-3.042	-1.176	-1.265	1.920	0.263	0.661	0.503	-0.696	-1.027	-2.999	-0.031	-1.211
other	-0.099	0.324	-1.396	2.537	-1.939	-0.441	-0.503	-1.157	-1.495	-3.208	-2.563	-0.948	-1.873	1.396	2.455	1.245	-3.182	0.411	-0.810	-3.086	-1.164	2.209	0.766	2.233	2.191	-1.122	-1.804	0.761	-1.321	0.158	-0.170	-0.421	2.016	-0.277	2.197	-0.023	1.582	3.835	-2.334	3.255	0.459	0.019	2.658	-0.732	1.403	-3.330	-0.021	-2.315	0.474	-1.376
their	-3.900	1.823	-2.829	1.711	-3.730	-0.534	-1.703	-1.062	-0.334	-2.237	-1.766	-2.565	-3.056	0.269	0.457	1.547	-2.270	-2.022	-2.468	-3.685	-1.125	2.502	5.470	2.723	0.254	1.886	-1.956	-0.807	-0.072	-0.510	0.216	-3.564	-0.386	-0.478	0.834	-1.951	1.226	2.744	-4.263	1.958	-0.522	1.728	0.934	1.084	0.727	-1.424	-1.733	-0.454	0.156	-3.070
all	0.017	1.022	0.464	-0.408	-3.424	1.990	-0.538	-1.406	-1.460	-1.770	-2.348	-1.809	-0.428	0.218	1.092	2.814	-3.270	-0.909	-0.459	-3.720	-2.999	2.731	0.537	1.799	0.373	-0.336	-2.252	-1.238	0.445	2.412	-0.366	-0.358	-1.851	-1.141	0.734	0.382	0.626	2.505	-2.385	0.768	-0.598	1.421	1.602	-0.472	-0.106	-1.692	-0.630	-1.655	-0.882	0.566
they	-4.686	4.432	-2.177	-0.134	-4.795	1.909	-3.218	0.718	-1.086	-0.073	-3.187	-3.116	-1.242	-0.721	0.830	2.465	-1.432	-0.069	-1.611	-2.372	-2.434	1.482	1.302	2.164	-2.284	1.715	-0.210	-4.949	0.386	-0.326	-1.309	-0.866	-2.462	-1.110	2.092	-2.461	-0.429	2.297	-2.682	-0.125	-0.432	0.643	1.782	0.935	0.358	-3.079	-1.155	-2.467	1.201	-1.681
some	-1.244	1.421	-2.209	3.207	-2.579	-0.044	-2.424	0.768	0.587	-2.219	-2.257	-0.076	-0.424	0.595	0.829	1.240	-3.365	-0.304	-2.564	-0.688	-1.954	1.077	1.233	1.776	0.539	-0.689	-2.076	-1.110	-1.262	0.897	0.143	0.626	0.223	-1.573	2.821	0.211	1.171	4.339	-2.545	2.306	-0.236	1.617	2.117	0.544	0.056	-3.172	0.445	-4.052	0.884	-2.664
its	-2.409	-0.436	-3.717	4.793	-0.344	-0.020	1.472	-3.189	1.098	-0.300	-2.385	0.577	0.146	1.105	-0.270	0.237	-1.135	-0.298	-2.256	-0.910	-0.407	1.685	3.407	0.891	-0.620	-2.779	-1.627	1.243	0.233	2.224	2.275	-0.956	-1.930	-0.069	-3.709	-0.791	2.634	-0.213	-2.124	-0.686	-1.422	3.496	-0.110	-0.415	1.319	1.035	0.453	-0.238	0.432	-2.429
had	-4.265	0.374	-1.845	-0.285	-0.566	0.279	-3.362	0.952	0.039	3.375	1.852	-0.710	1.381	-1.642	-1.909	4.280	-0.226	-2.524	-0.950	0.654	1.054	-0.710	3.652	1.843	0.794	2.401	-2.089	-4.355	-2.282	2.471	-1.712	-1.828	-1.739	-1.989	0.193	-1.759	0.440	-1.500	-2.442	-2.945	-1.577	2.723	-0.804	-0.997	-0.436	0.164	-2.856	-1.417	-0.277	-3.660
first	-1.082	-1.686	1.116	0.570	1.853	1.712	0.705	-1.871	-0.026	0.983	0.301	0.591	1.672	-0.810	-4.222	1.876	1.187	-1.964	2.133	-2.116	-0.574	-0.167	1.951	1.843	-0.610	-1.260	0.653	-0.578	-2.211	1.359	2.528	0.676	-1.740	-1.542	-1.682	2.235	0.743	-0.178	-0.169	-2.934	-0.547	0.450	3.250	0.367	-1.172	1.847	-2.658	0.087	-0.198	-1.969
you	1.652	5.861	1.349	-3.316	-4.886	4.612	2.143	3.335	-2.713	2.023	0.437	-3.599	-1.770	0.306	-0.004	1.957	-4.045	-3.884	-1.955	-0.205	-3.041	1.637	-4.341	-0.792	-2.946	1.793	-3.659	-4.180	4.883	-2.639	-2.210	1.835	-3.071	-3.372	4.332	2.497	-0.486	2.713	-2.645	-2.401	0.250	-5.088	-2.288	0.525	-1.047	1.049	1.379	-1.088	-1.892	4.238
can	-0.885	6.537	-1.173	2.011	-5.910	3.278	-0.716	-1.503	2.192	-1.585	0.331	1.038	-4.718	-0.749	1.221	3.524	-0.952	1.454	-1.367	-3.639	-3.830	2.028	-2.437	-1.258	-5.577	-1.390	-3.046	-2.524	2.077	-1.172	0.149	1.619	-0.844	0.149	-0.116	-0.177	2.429	1.370	-0.925	0.661	0.138	-2.561	2.202	1.715	-0.360	-5.753	2.974	-4.505	-0.145	-2.655
more	-0.500	-0.602	-3.200	3.880	-0.572	0.934	-1.544	1.158	-0.100	-1.210	-3.039	1.930	-0.910	-3.030	0.489	2.978	-3.800	3.760	-2.005	-0.315	-5.528	0.405	1.553	1.299	1.564	1.258	-0.214	-2.377	0.178	1.871	-0.159	-0.037	-0.413	-0.507	1.102	1.161	1.005	0.006	-3.723	0.558	-1.293	-0.256	1.110	2.166	2.910	-1.454	1.317	-1.978	0.117	0.191
been	-4.580	-0.022	-2.535	3.576	-2.114	-0.242	-4.425	0.441	1.032	3.711	-1.164	1.251	2.540	1.497	-1.532	2.219	-2.729	-0.342	0.024	2.152	-0.740	-0.624	0.287	1.447	0.618	-0.992	-3.779	-3.681	-1.029	3.403	-0.609	0.191	-0.705	-3.712	0.177	0.201	0.172	0.104	-1.596	-0.110	-0.436	2.754	0.314	-0.881	-0.276	-0.776	0.824	-4.098	0.506	-3.189
most	-0.781	-2.767	-2.407	3.325	-0.682	-0.830	-0.962	0.026	-0.643	-1.906	-3.473	0.238	-0.072	1.153	0.076	0.637	-1.339	1.441	-0.633	-0.297	-2.815	0.049	1.605	2.375	2.425	-2.236	-1.125	-0.672	-3.962	5.341	-0.157	0.245	-1.102	-0.519	3.297	1.212	2.331	-0.348	-1.226	0.904	-1.667	1.592	2.134	0.874	1.197	-1.681	2.008	-3.036	-1.492	-1.041
who	-1.294	1.958	-1.361	-1.721	-0.688	1.852	-2.287	-1.048	-3.579	1.733	-0.219	1.056	-0.727	0.722	-1.893	0.631	-0.843	-4.634	0.529	-2.183	1.565	-0.026	3.202	3.756	0.344	3.826	1.678	-3.928	-2.003	-1.218	-2.945	-1.638	-1.042	-1.347	6.088	-0.593	0.109	1.373	-1.124	-1.658	0.689	2.542	-1.435	1.833	0.018	-2.276	-0.436	-0.814	-0.357	-2.547
there	0.799	-0.068	-0.808	0.230	-1.819	-1.137	-0.084	1.376	0.841	-1.709	-3.164	-0.403	1.158	-1.425	1.319	0.403	-3.242	0.151	-0.112	0.742	-2.442	1.080	-1.373	0.740	-0.585	-0.979	-3.493	-2.492	1.682	3.543	-1.498	1.898	-0.369	-0.499	0.572	-2.353	-0.654	1.794	-2.512	1.699	0.077	-0.636	2.592	-1.358	-1.983	-2.769	-0.171	-2.585	-0.226	-0.470
such	0.685	1.875	-0.157	2.153	-1.767	-0.553	-1.973	1.384	1.256	-2.514	-1.734	0.683	-1.795	1.577	1.423	0.089	-1.420	2.672	-2.149	-1.366	-0.467	0.856	0.103	2.396	1.360	-1.681	-2.681	2.118	-2.508	-0.115	-0.549	-0.691	1.839	1.432	2.262	0.280	2.767	3.336	-2.054	3.478	0.818	0.127	1.803	0.252	0.202	-3.486	1.135	-2.040	1.579	-1.768
many	-0.856	-0.613	-2.595	4.322	-2.432	-0.918	-3.017	0.624	0.126	-3.293	-3.158	-1.193	-1.057	0.636	1.069	1.656	-2.382	-0.311	-1.637	-0.886	-2.212	1.725	2.192	3.906	2.253	-0.589	-1.415	-0.600	-2.772	0.922	0.170	-0.957	0.265	-2.555	3.896	0.806	1.762	2.991	-2.733	1.502	-1.093	1.569	2.732	0.192	0.144	-3.066	0.832	-3.501	0.463	-2.433
new	2.409	-1.259	-1.616	4.454	3.015	-0.085	-0.808	-0.977	1.388	0.863	-1.974	-2.679	0.621	-3.976	-3.833	0.391	0.453	-0.118	0.183	-1.522	-1.781	3.371	2.322	3.234	1.836	1.040	0.648	0.447	-2.190	-2.111	1.729	-2.540	0.174	-2.334	-2.681	2.167	0.563	0.306	-1.810	-1.089	-0.125	1.817	1.809	-0.784	-1.005	2.273	-3.203	1.238	2.520	0.090
used	-1.640	1.541	0.354	0.896	-2.603	-0.508	3.362	1.573	1.692	-0.965	0.741	0.704	-3.238	2.346	-0.596	-0.678	0.024	5.609	1.492	2.683	0.312	-1.272	0.488	3.934	-2.907	-5.054	-4.030	1.019	-1.637	-0.490	-0.446	3.176	5.450	1.882	-0.401	-0.286	3.289	0.166	-1.653	4.031	-1.877	-4.134	5.299	0.357	2.021	-0.830	1.568	-3.596	1.325	-0.752
time	-2.939	0.038	-0.571	0.023	-0.930	2.855	-0.567	1.440	1.078	0.233	0.451	0.490	0.558	-1.722	-1.445	2.518	-1.619	-1.005	0.737	0.496	-2.975	0.955	0.546	0.871	-1.673	-0.774	0.138	-2.043	1.266	1.775	2.576	0.244	-2.470	-1.465	0.138	0.366	0.260	-2.147	-3.007	-1.975	-2.202	1.118	0.150	0.944	-1.549	0.391	-1.565	-0.418	-3.272	-1.165
when	-2.367	4.324	-2.830	0.391	0.547	3.657	-1.632	0.226	0.645	1.653	-0.649	0.142	0.365	-2.378	-2.521	4.026	-1.845	-2.357	-0.390	-2.674	-0.783	0.883	1.234	-0.876	-1.080	1.413	0.156	-3.940	-0.016	-0.583	1.118	0.738	-2.437	0.148	1.022	-1.289	1.561	0.094	0.570	-3.321	-1.079	2.641	1.337	0.554	-0.580	0.751	-2.787	-1.343	-1.116	-1.887
after	-3.487	0.740	-1.682	-0.519	2.235	0.726	-0.335	-0.110	1.694	0.939	1.819	-1.583	3.922	-1.702	-4.250	5.095	-0.719	-4.029	1.789	-1.397	0.855	1.214	4.020	-0.779	-0.127	0.991	-0.113	-1.336	-2.683	0.359	0.257	-1.068	-2.157	-1.426	-0.580	0.241	1.020	-1.335	1.043	-3.626	-2.269	1.042	1.743	-0.825	-2.956	2.570	-3.797	0.013	-1.847	-2.232
see	5.744	-0.807	2.774	-1.580	0.719	-0.922	3.675	-1.054	0.309	0.009	1.763	-0.726	-2.290	0.954	1.940	-3.572	-3.119	0.425	-0.265	-0.449	0.118	0.249	-0.198	-2.149	1.515	-5.040	-3.880	3.611	0.977	-0.179	-0.917	0.588	1.269	-1.585	2.663	2.954	2.017	1.576	2.128	3.799	-1.842	-2.132	1.907	0.398	-0.647	0.348	0.218	-2.458	0.718	3.030
into	-3.842	3.981	-1.199	-0.095	2.259	3.798	-0.455	-2.879	2.516	-1.956	-1.904	-1.667	-0.952	-3.263	-0.502	2.995	-1.342	-0.290	-0.811	-4.561	-0.944	3.590	0.842	0.662	3.725	-1.395	1.174	-0.474	-0.899	-1.496	0.464	-1.481	-1.356	-0.526	-1.196	-1.062	-0.460	-1.791	0.040	-2.469	-3.230	2.189	2.086	-1.686	1.177	0.882	-0.481	-1.874	1.502	-4.188
only	-1.815	0.716	-1.025	0.736	-2.330	1.950	0.025	-0.951	-1.497	-0.720	-1.519	0.685	1.065	-0.477	-0.670	2.892	-3.207	0.532	-0.566	-2.267	-1.905	1.320	1.053	1.340	-2.430	0.376	-1.572	-3.833	-0.258	3.001	0.146	1.797	-1.926	0.793	-1.181	-0.372	0.459	0.882	-2.066	0.065	-0.706	0.997	1.293	0.238	-0.529	-1.521	-0.921	-2.139	-1.098	-0.580
